crop_name,agro_zone,crop_group,temp_lo,temp_hi,ph_lo,ph_hi,seasons_text,ph_is_real,temp_is_real,service_zone,kau_zone_source
Nilappana,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Rainfed crop planted with onset of monsoon in May-June; irrigated crop can be planted any time,False,False,central_zone,General (all zones)
Nilappana,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Rainfed crop planted with onset of monsoon in May-June; irrigated crop can be planted any time,False,False,northern_zone,General (all zones)
Nilappana,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Rainfed crop planted with onset of monsoon in May-June; irrigated crop can be planted any time,False,False,high_ranges,General (all zones)
Nutmeg,General (all zones),Spices and Condiments,22.0,32.0,5.0,6.5,Onset of southwest monsoon (main field planting),False,False,coastal_zone,General (all zones)
Nutmeg,General (all zones),Spices and Condiments,22.0,32.0,5.0,6.5,Onset of southwest monsoon (main field planting),False,False,southern_zone,General (all zones)
Nutmeg,General (all zones),Spices and Condiments,22.0,32.0,5.0,6.5,Onset of southwest monsoon (main field planting),False,False,central_zone,General (all zones)
Nutmeg,General (all zones),Spices and Condiments,22.0,32.0,5.0,6.5,Onset of southwest monsoon (main field planting),False,False,northern_zone,General (all zones)
Nutmeg,General (all zones),Spices and Condiments,22.0,32.0,5.0,6.5,Onset of southwest monsoon (main field planting),False,False,high_ranges,General (all zones)
Oilpalm,General (all zones),Oil Seeds,30.0,32.0,5.0,8.0,May-June (planting at onset of monsoon; nursery seed sowing/handling year-round),False,True,coastal_zone,General (all zones)
Oilpalm,General (all zones),Oil Seeds,30.0,32.0,5.0,8.0,May-June (planting at onset of monsoon; nursery seed sowing/handling year-round),False,True,southern_zone,General (all zones)
Oilpalm,General (all zones),Oil Seeds,30.0,32.0,5.0,8.0,May-June (planting at onset of monsoon; nursery seed sowing/handling year-round),False,True,central_zone,General (all zones)
Oilpalm,General (all zones),Oil Seeds,30.0,32.0,5.0,8.0,May-June (planting at onset of monsoon; nursery seed sowing/handling year-round),False,True,northern_zone,General (all zones)
Oilpalm,General (all zones),Oil Seeds,30.0,32.0,5.0,8.0,May-June (planting at onset of monsoon; nursery seed sowing/handling year-round),False,True,high_ranges,General (all zones)
Okra,General (all zones),Vegetables,22.0,32.0,5.0,6.5,February-March | June-July | October-November,False,False,coastal_zone,General (all zones)
Okra,General (all zones),Vegetables,22.0,32.0,5.0,6.5,February-March | June-July | October-November,False,False,southern_zone,General (all zones)
Okra,General (all zones),Vegetables,22.0,32.0,5.0,6.5,February-March | June-July | October-November,False,False,central_zone,General (all zones)
Okra,General (all zones),Vegetables,22.0,32.0,5.0,6.5,February-March | June-July | October-November,False,False,northern_zone,General (all zones)
Okra,General (all zones),Vegetables,22.0,32.0,5.0,6.5,February-March | June-July | October-November,False,False,high_ranges,General (all zones)
